Organization Name,Organization Name URL,Headquarters Location,Founded Date,Founded Date Precision,Industries,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Description,Website,X (Twitter),LinkedIn,Founders,Number of Funding Rounds,Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Lead Investors,Full Description
BranchLab,https://www.crunchbase.com/organization/branchlab,"New York, New York, United States",2024-01-01,year,"Artificial Intelligence (AI), Health Care, Marketing",2026-05-13,28784986,USD,28784986,The AI Platform for Pharma Commercialization,https://branchlab.com/,,https://www.linkedin.com/company/branch-lab/,"Chris Cagle, Josh Walsh, Michael Parkes",3,Series A,28784986,USD,28784986,"nvp capital, Sanofi Ventures, AIX Ventures, Swift Ventures, FCA Venture Partners","McKesson Ventures, NEXT VENTŪRES, nvp capital",The AI Platform for Pharma Commercialization
Bold Security,https://www.crunchbase.com/organization/bold-security,"New York, New York, United States",2024-01-01,year,"Artificial Intelligence (AI), Cyber Security, Software",2026-03-12,28000000,USD,28000000,Bold is a cybersecurity company that develops AI software to monitor device activity and detect unusual behavior linked to security threats.,https://www.bold.security/,,https://www.linkedin.com/company/bold-security/,"Hadar Krasner, Nati Hazut, Omri Mallis",2,Series A,40000000,USD,40000000,"Bessemer Venture Partners, Picture Capital, Operator Partners, Red Dot Capital Partners, Cerca Partners","Bessemer Venture Partners, Picture Capital, Red Dot Capital Partners",
Hera,https://www.crunchbase.com/organization/hera-f6b8,"New York, New York, United States",2024-01-01,year,"Elder Care, Health Care, Information Technology, Medical, Software",2026-06-25,27000000,USD,27000000,Hera is a healthcare technology company that provides Medicare-covered care management services for older adults and their families.,https://hellohera.com/,https://x.com/hellotohera,https://www.linkedin.com/company/hellohera,"Jenny Lee, Myles Novick",2,Series A,34200000,USD,34200000,"Accel, BoxGroup, Bain Capital Ventures, IA Ventures, Vincent Tammaro","Accel, Bain Capital Ventures","Hera is a healthcare technology company that provides Medicare-covered care management services for older adults and their families. The company connects families with dedicated care managers, known as ""Heroes,"" who coordinate medical, logistical, and social aspects of care to help aging adults remain healthy and independent. Its services are designed to bridge the gap between clinical care and everyday needs by guiding families through healthcare decisions, coordinating providers, and accessing community resources. The company's care management model includes coordinating appointments, managing medications, arranging home care and medical equipment, facilitating communication among healthcare providers, and helping families navigate insurance benefits and long-term care planning. By integrating with healthcare systems and leveraging Medicare's care management benefits, Hera aims to make comprehensive care coordination accessible at little or no out-of-pocket cost for eligible patients."
Hanover Park,https://www.crunchbase.com/organization/hanover-park,"New York, New York, United States",2024-01-01,year,"Analytics, Artificial Intelligence (AI), Data Collection and Labeling, Enterprise Resource Planning (ERP), Financial Services, Information Technology, Software",2026-03-18,27000000,USD,27000000,Hanover Park is a software company that develops AI-native ERP solutions.,https://www.hanoverpark.com,https://x.com/hanover_hq,https://www.linkedin.com/company/hanoverpark,Chris Hladczuk,2,Series A,27000000,USD,27000000,"Emergence Capital, Lux Capital, Susa Ventures",Emergence Capital,"Hanover Park is an information technology company that offers fund administration, portfolio management, artificial intelligence, enterprise resource planning, analytics, data collection, and SaaS services."
Nas.com,https://www.crunchbase.com/organization/nas-io,"New York, New York, United States",2022-02-01,day,"Agentic AI, Digital Marketing, Digital Media, E-Commerce Platforms, Email Marketing, Video",2026-04-08,27000000,USD,27000000,"Nas.com is a platform where you snap a photo and AI builds your store, runs your marketing, and finds you customers, in seconds.",https://nas.com,https://x.com/nascommunities?lang=en,https://www.linkedin.com/company/nas-iocommunity,Nuseir Yassin,3,Series A,50000000,USD,50000000,"Lightspeed Venture Partners, Khosla Ventures, 500 Global, BECO Capital, Pitango VC","BECO Capital, Khosla Ventures, Lightspeed Venture Partners, Pitango VC","Nas.com is the fastest way to launch and market an online store. Snap a photo and AI builds your store, runs your marketing, and finds customers for you. Nas.com builds your entire online store in seconds. Your listings, your storefront, your ads, your content. All done for you by AI. Unlike Shopify or Etsy, Nas.com doesn't just host your store, it actually helps you with marketing.  350,000 people across 150+ countries are already selling on Nas.com. Time to work for yourself on Nas.com"
Translucent AI,https://www.crunchbase.com/organization/translucent-ai,"New York, New York, United States",2024-01-01,year,"Artificial Intelligence (AI), Financial Services, Health Care",2026-03-11,27000000,USD,27000000,Translucent AI develops an AI-powered financial platform tailored for healthcare operators.,https://www.translucent.co/,,https://www.linkedin.com/company/translucentai,Jack O'Hara,2,Series A,34000000,USD,34000000,"New Enterprise Associates, FPV Ventures, Google Ventures, Virtue, Redesign Health","Google Ventures, New Enterprise Associates","Translucent AI develops an AI-powered financial platform tailored for healthcare operators. The system automates financial reporting, consolidates data from various service lines, and provides real-time insights to support decision-making. It integrates with existing financial systems to streamline operations and reduce reliance on manual processes. The platform is designed to handle complex healthcare financial workflows and is built with security and compliance in mind. Translucent AI aims to enhance financial transparency and operational efficiency for healthcare organizations."
Firsthand,https://www.crunchbase.com/organization/firsthand-a04c,"New York, New York, United States",2023-09-01,month,"Artificial Intelligence (AI), Information Technology, Marketing",2025-03-04,26000000,USD,26000000,Firsthand operates as an AI agent platform built for brands & publishers.,https://www.firsthand.ai/,,https://www.linkedin.com/company/firsthand-labs/,"Jon Heller, Michael Rubenstein, Sara Wallace, Wei Wei",2,Series A,32600000,USD,32600000,"Radical Ventures, FirstMark, AperiamVentures, Crossbeam Venture Partners, Brian O'Kelley",Radical Ventures,Firsthand operates as an AI agent platform built for brands & publishers.
Taxwire,https://www.crunchbase.com/organization/taxwire,"New York, New York, United States",2023-05-17,day,"Artificial Intelligence (AI), Compliance, Financial Services, FinTech, SaaS",2026-06-30,25000000,USD,25000000,"Taxwire is a sales tax platform that combines automation and managed services to handle calculating, registering, and filing taxes.",https://www.taxwire.com,https://x.com/taxwire_inc,https://www.linkedin.com/company/taxwire,"Andrew Rea, Steven Schmatz",3,Series A,37900000,USD,37900000,"Headline, XYZ Venture Capital, Analog Ventures, Recall Capital, NOMO Ventures","Headline, NOMO Ventures, Vinyl Capital, XYZ Venture Capital","Taxwire provides software and managed services for sales tax and indirect tax compliance. Its platform helps businesses calculate tax, determine tax obligations, manage registrations, automate tax filings and payments, and maintain compliance across multiple jurisdictions. The platform integrates with billing, commerce, and accounting systems to support tax calculation, reporting, and exemption certificate management. Taxwire also combines its software with tax professionals who assist customers with compliance decisions, regulatory requirements, and audit-related processes. It serves organizations operating across the United States and international markets that require automated sales tax, VAT, and GST compliance."
Monk,https://www.crunchbase.com/organization/monk-b5a0,"New York, New York, United States",2024-01-01,year,"Financial Services, FinTech",2026-04-21,25000000,USD,25000000,Monk automates invoice follow-ups and collections to help businesses improve cash flow and efficiency.,https://monk.com/,https://x.com/usemonk,https://www.linkedin.com/company/monk-finance,"George Kurdin, Joe Zhou",2,Series A,29000000,USD,29000000,"Acrew Capital, Footwork, Better Tomorrow Ventures, GTMfund, Rerail","Acrew Capital, Better Tomorrow Ventures, Footwork","Monk is an accounts receivable automation platform designed to help modern finance teams streamline invoice follow-ups and improve collections efficiency. As businesses scale, managing receivables manually becomes time-consuming and inconsistent, often leading to delayed payments and unpredictable cash flow. Monk addresses this challenge by automating the entire collections workflow, allowing companies to stay on top of outstanding invoices without increasing operational overhead. The platform enables finance teams to create structured follow-up sequences, ensuring that every customer receives timely and consistent communication. Instead of relying on manual reminders or scattered spreadsheets, Monk centralizes all collections activities into a single system. This improves visibility into receivables, reduces missed follow-ups, and helps teams take action proactively. Monk also focuses on improving the quality of customer communication. By enabling personalized and well-timed outreach, businesses can maintain strong relationships while still ensuring payments are collected efficiently. This balance between automation and thoughtful communication helps reduce friction in the collections process. With integrations across accounting systems and payment platforms, Monk fits seamlessly into existing finance workflows. It allows businesses to connect their invoicing data, track payment status in real time, and optimize their collections strategy based on performance insights. Ultimately, Monk helps companies accelerate cash flow, reduce manual effort, and build a more predictable financial operation. It is particularly valuable for growing businesses that need to scale their finance processes without adding headcount."
Alta,https://www.crunchbase.com/organization/alta-eab5,"New York, New York, United States",2023-01-01,year,"Artificial Intelligence (AI), Data Management, Software",2026-07-08,25000000,USD,25000000,Alta leverages data and AI to drive business growth 24/7.,https://www.altahq.com/,,https://www.linkedin.com/company/altahqdotcom/about/,"Mor Shabtai, Stav Neumark, Tom Hoffen",2,Series A,32000000,USD,32000000,"Entrée Capital, Target Global, Mindset Ventures, IN Venture, Skywell Capital Partners","Entrée Capital, IN Venture, Target Global",Alta leverages data and AI to drive business growth 24/7.
Astelia,https://www.crunchbase.com/organization/astelia-349f,"New York, New York, United States",2024-01-01,year,"Agentic AI, Computer, Cyber Security, Network Security",2026-02-24,25000000,USD,25000000,Astelia is an AI-native exposure management tool that allows enterprises to concentrate on vulnerabilities that are actually exploitable.,https://www.astelia.io/,,https://www.linkedin.com/company/astelia-security/,"Alon Noy, Nadav Ostrovsky, Roy Rajwan",3,Series A,35000000,USD,35000000,"Team8, Index Ventures, Holly Ventures, AWS & Crowdstrike Cybersecurity Accelerator","AWS & Crowdstrike Cybersecurity Accelerator, Holly Ventures, Index Ventures",Astelia uses patented agentic AI to examine the technical requirements for exploitation after mapping and modeling your network topology through integrations with infrastructure and network technologies.
Teleskope,https://www.crunchbase.com/organization/teleskope-c1a4,"New York, New York, United States",2022-01-01,year,"Artificial Intelligence (AI), Compliance, Security, Software",2025-11-03,25000000,USD,25000000,"Teleskope provides a data protection platform that automates data security, privacy, and compliance across organizational environments.",https://www.teleskope.ai,,https://www.linkedin.com/company/teleskopeai,"Elizabeth Nammour, Julie Trias",3,Series A,32200000,USD,32200000,"Plug and Play, Primary Venture Partners, Lerer Hippeau, Essence VC, M13","Lerer Hippeau, M13, Primary Venture Partners","Teleskope presents a data protection platform that focuses on automating the lifecycle of data security, privacy and compliance across an organization’s data environment. The platform enables continuous discovery and cataloguing of data assets spanning cloud, codebase and vendors, with classification of more than 150 sensitive entity types including PII, PHI, and PCI. It supports automated remediation actions (such as redaction or encryption) and integrates into development pipelines to stream-line prevention of vulnerabilities. Teleskope also provides governance capabilities for AI ecosystems by linking datasets to AI models, managing data flows, and enforcing policies for safe AI adoption."
GovWell,https://www.crunchbase.com/organization/govwell-technologies,"New York, New York, United States",2023-04-01,month,"Artificial Intelligence (AI), GovTech, Information Technology, SaaS, Software",2026-05-14,25000000,USD,25000000,GovWell is an AI operating system for municipal and county governments to improve service delivery and build public trust.,http://www.govwell.com,,https://www.linkedin.com/company/govwell,"Ben Cohen, Troy LeCaire",3,Series A,34500000,USD,34500000,"Insight Partners, Work-Bench, Bienville Capital, Chris Bullock, Andreas Huber","Bienville Capital, Insight Partners, Work-Bench","GovWell is a software company that provides a cloud-based platform designed to help local governments manage public services more efficiently. It focuses on digitizing and organizing workflows related to permitting, licensing, planning, zoning, and code enforcement. The platform is used by municipal and county agencies to process applications, track inspections, and manage approvals in a more structured system. It also offers tools that allow residents and businesses to submit requests, make payments, and monitor the status of their applications online. Overall, GovWell is aimed at improving how government agencies handle administrative processes and interact with the public."
Casap,https://www.crunchbase.com/organization/casap-4f63,"New York, New York, United States",2023-01-01,year,"Finance, Fraud Detection, Risk Management, Software",2025-08-07,25000000,USD,25000000,Casap provides a copilot and collaboration platform for automating disputes and preventing fraud for financial institutions.,https://casaphq.com,,https://www.linkedin.com/company/casaphq,"Saisi Peter, Shanthi Shanmugam",4,Series A,33600000,USD,33600000,"Lightspeed Venture Partners, Primary Venture Partners, Emergence Capital, Curql, SoFi","Curql, Emergence Capital, Lightspeed Venture Partners, Primary Venture Partners","Casap is an AI-powered platform that helps financial institutions automate disputes and reduce fraud. The company's platform offers a copilot and collaboration tool to streamline the dispute process, improve recovery rates, and identify patterns of fraud. Casap also provides built-in regulatory expertise and support for various transaction types."
Avantos,https://www.crunchbase.com/organization/avantos,"New York, New York, United States",2024-01-01,year,"Artificial Intelligence (AI), Financial Services, FinTech, SaaS",2026-02-18,25000000,USD,25000000,Avantos is an AI-native operating system that systematizes and institutionalizes client data for financial services firms.,https://avantos.ai,,https://www.linkedin.com/company/avantos-ai,"Bassam Chaptini, Rabih Ramadi",2,Series A,35000000,USD,35000000,"Bessemer Venture Partners, Blue Collective, E14 Fund, M13, Mercer Advisors","Bessemer Venture Partners, E14 Fund","Avantos is an AI-native operating system built on a knowledge graph that connects client data, products, teams, and work into a single, continuously updated system of context. This allows AI agents to reason across relationships, plan next steps, and take action with an understanding of where each client stands, what’s required, who’s involved, and what needs to happen next. The company's AI-native operating system systematizes and institutionalizes client data for financial services firms, enabling them to deliver better client experiences across wealth, protection, and retirement businesses."
Camp Network,https://www.crunchbase.com/organization/camp-network-901e,"New York, New York, United States",2023-01-01,year,"Artificial Intelligence (AI), Blockchain, Cryptocurrency, FinTech",2025-04-29,25000000,USD,25000000,Camp Network is a purpose-built Layer 1 blockchain to power AI agents.,https://www.campnetwork.xyz,https://x.com/campnetworkxyz,https://www.linkedin.com/company/campnetwork,Nirav Murthy,3,Series A,30000000,USD,30000000,"Ethena, Blockchain Capital, Celestia, Lattice Fund, Selini Capital","1kx, Blockchain Capital, Maven 11 Capital",
Sea12 Technologies,https://www.crunchbase.com/organization/sea12-technologies,"New York, New York, United States",2024-01-01,year,"Artificial Intelligence (AI), Enterprise Software, Machine Learning, Software",2026-03-17,24932968,USD,24932968,Sea12 Technologies delivers AI-powered knowledge tools that support manufacturing operations and safety decisions.,https://www.sea12.co,,https://www.linkedin.com/company/sea12-tech,Charles Englander,1,Series A,24932968,USD,24932968,Caffeinated Capital,Caffeinated Capital,"Sea12 Technologies develops AI-powered knowledge systems that help industrial and manufacturing organizations access operational and safety information through natural language interfaces. Its platform ingests company documents, procedures, and historical data to create an internal knowledge ecosystem tailored to each customer. The software surfaces relevant instructions, policies, and troubleshooting guidance directly on the factory floor and in control rooms, supporting frontline workers and decision-makers. Sea12 Technologies focuses on scenarios where safety rules, operating standards, and production practices change frequently, enabling teams to stay aligned with current requirements. The company offers roles such as forward deployed engineers and platform engineers, indicating services that include on-site implementation, integration with existing systems, and continuous optimization of its orchestration platform. Design and brand roles suggest ongoing development of user experience and communication around complex industrial workflows."
Daytona,https://www.crunchbase.com/organization/daytona-4480,"New York, New York, United States",2023-01-01,year,"Artificial Intelligence (AI), Cloud Infrastructure, Generative AI",2026-02-05,24000000,USD,24000000,"Daytona is cloud infrastructure for AI agents, enabling them to run tools and code autonomously in fast, secure, and isolated environments.",https://www.daytona.io,https://x.com/daytonaio,https://www.linkedin.com/company/daytonaio,"Goran Draganic, Ivan Burazin, Ivan Burazin, Vedran Jukic",5,Series A,38000000,USD,38000000,"FirstMark, 500 Global, Pace Capital, e2vc, Upfront Ventures","FirstMark, Upfront Ventures","Daytona provides secure, elastic, and agent-native cloud infrastructure that enables AI agents to execute tools and code autonomously in isolated environments. Its sandboxes spin up in under 100ms, can run indefinitely, and are designed for strong isolation.  Daytona equips agents with headless APIs for terminals, file systems, Git, and LSP, and supports parallel execution, persistent storage, and declarative image builds.  It’s built for velocity, scales globally, and powers advanced agent use cases across code, data, and game environments."
Raspberry AI,https://www.crunchbase.com/organization/raspberry-ai,"New York, New York, United States",2022-01-01,year,"Artificial Intelligence (AI), Fashion, Product Design, Software",2025-01-13,24000000,USD,24000000,Raspberry AI provides generative AI software for fashion design and merchandising.,https://www.raspberry.ai,,https://www.linkedin.com/company/raspberry-ai,Cheryl Liu,2,Series A,28500000,USD,28500000,"Andreessen Horowitz, Khosla Ventures, Correlation Ventures, Greycroft, MVP Ventures","Andreessen Horowitz, Greycroft, Khosla Ventures",Raspberry AI offers software that utilizes generative AI to enhance fashion design and merchandising processes. The platform helps fashion brands quickly understand consumer demand and create appealing designs.
Edra,https://www.crunchbase.com/organization/edra-d38d,"New York, New York, United States",2024-01-01,year,"Artificial Intelligence (AI), Enterprise Software",2026-03-18,23800000,USD,23800000,"Edra AI is an automation platform that analyzes existing company data such as tickets, logs, and messages.",https://edra.ai/,,https://www.linkedin.com/company/edra-ai/,Eugen Alpeza,2,Series A,30300000,USD,30300000,"Sequoia Capital, 8VC, A*, HubSpot Ventures","8VC, A*, Sequoia Capital","Edra AI is an automation platform that analyzes existing company data such as tickets, logs, and messages."
Finch Legal,https://www.crunchbase.com/organization/finch-legal,"New York, New York, United States",2024-01-01,year,"Artificial Intelligence (AI), Information Technology, Legal Tech, Software",2025-06-16,23699985,USD,23699985,Finch Legal is a software development company that supports personal injury law firms.,https://www.finchlegal.com/,https://x.com/finchlegal,https://www.linkedin.com/company/finchlegal,"Ben Weems, Viraj Bindra",2,Series A,23699985,USD,23699985,"Sequoia Capital, Khosla Ventures, Redpoint, Liquid 2 Ventures, Liquid 2 Ventures","Redpoint, Sequoia Capital","Finch Legal is a software development company that supports personal injury law firms. The company aims to provide practical and effective legal solutions, as suggested by its commitment to serving clients better and more efficiently."
Sandbar,https://www.crunchbase.com/organization/sandbar-92c3,"New York, New York, United States",2023-01-01,year,"Artificial Intelligence (AI), Consumer Electronics, Consumer Software, Software",2026-03-10,23000000,USD,23000000,"Sandbar creates voice, gesture, and wearable tools to help capture ideas and connect thoughts to digital actions.",https://sandbar.com/,https://x.com/sandbar,https://www.linkedin.com/company/sandbarinc/,"Kirak Hong, Mina Fahmi",2,Series A,36000000,USD,36000000,"Betaworks, Kindred Ventures, True Ventures, Upfront Ventures, Collaborative Fund","Adjacent, Kanyi Maqubela, Kindred Ventures","Sandbar provides an interface platform that enables users to extend their cognitive and creative workflows by integrating voice, gesture, and haptic interactions. The company develops the core product Stream, which functions as a conversational extension of thought, capturing ideas, organizing notes, and facilitating hands-free music control through gestures. In addition, it offers the Stream Ring, a wearable device that pairs with Stream to enable voice-activated control, capturing and organizing information in real time. The technology bridges the gap between internal thinking and external action, aiming to make idea generation and expression more fluid. Its services include product design, software integration, and support for gesture- and voice-based interfaces tailored to individual workflows."
DataLane,https://www.crunchbase.com/organization/datalane-dbd9,"New York, New York, United States",2023-12-01,month,"Artificial Intelligence (AI), Developer Tools, Information Technology, Software",2025-12-16,22500000,USD,22500000,DataLane utilizes AI to transform unstructured local business data into organized contact information and market insights.,https://www.datalane.com,,https://www.linkedin.com/company/datalaneco,"David Patterson-Cole, Ganesh Thirumurthi",2,Series A,22500000,USD,22500000,"Basis Set Ventures, Flybridge, Amplify Partners, Mischief, Harry Stebbings","Amplify Partners, Basis Set Ventures","DataLane provides an AI-driven go-to-market platform that turns unstructured local business data into structured contact information and market intelligence for sales teams targeting the offline economy. It uses machine learning models to extract and verify business and decision-maker details from diverse sources, enrich CRM records, and support campaign orchestration. The platform helps identify new accounts, segment markets, clean duplicate records, and integrate intelligence into sales workflows. DataLane delivers structured business profiles and decision-maker contacts into tools like Salesforce or Snowflake for outreach and analysis. It also emphasizes privacy controls and SOC 2-compliant handling of business contact data for professional use."
Utila,https://www.crunchbase.com/organization/utila-1da8,"New York, New York, United States",2022-01-01,year,"Asset Management, Blockchain, Cyber Security, Financial Services",2025-09-03,22000000,USD,22000000,"Utila provides a digital asset management platform for institutions to securely store, transfer, and manage digital assets.",https://utila.io,https://x.com/utila_io,https://www.linkedin.com/company/utila-io,"Bentzi Rabi, Sam Eiderman",5,Series A,51549998,USD,51549998,"Wing Venture Capital, Framework Ventures, Gaingels, StarkWare Industries, K5 Global","Intel Ignite, NFX, Nyca Partners, Red Dot Capital Partners, Wing Venture Capital","Utila provides a digital asset management platform for institutions to securely store, transfer, and manage digital assets. It uses Multi-Party Computation (MPC) technology to enhance security and control across multiple blockchains and wallets. The platform supports trading operations, payments, Treasury management, and tokenization. Utila also offers APIs and an SDK for developers to integrate its services into custom applications."
Kredete,https://www.crunchbase.com/organization/kredete,"New York, New York, United States",2022-09-13,day,"Credit, Financial Services, FinTech, Mobile Payments, Payments",2025-09-15,22000000,USD,22000000,Kredete offers financial tools helping African immigrants in the U.S. transfer money globally and build credit.,https://www.kredete.io,https://x.com/kredete,https://www.linkedin.com/company/kredete,Adeola Adedewe,5,Series A,24765000,USD,24765000,"Launch Africa, Techstars, Cathay Innovation, Partech, Blockchain Founders Fund","AfricInvest, Blockchain Founders Fund, Launch Africa, Visa Inclusive Fintech Accelerator","Kredete provides a suite of financial tools that enable African immigrants in the U.S. to send and receive money internationally while also building credit. The company facilitates mobile banking (including savings, debit cards, cash advances, and in-app payment services), mobile transfers and top-ups, plus credit building via on-time credit, transaction, and rent reporting. It also offers business solutions (merchant tools, checkout, and API), crypto services (buying, selling, transfers, rewards, borrowing), and an AI-assistant for budgeting, predictive analysis, spending & credit simulation. Kredete operates via licensed U.S. financial partners and integrates compliance, security measures like two-factor authentication, and FDIC insurance for eligible accounts."
Silna Health,https://www.crunchbase.com/organization/silna-health,"New York, New York, United States",2023-01-01,year,"Artificial Intelligence (AI), Health Care, Information Technology, Therapeutics",2025-03-25,22000000,USD,22000000,"Silna Health builds proactive tools that handle all prior authorizations, benefit checks and insurance monitoring upfront.",https://www.silnahealth.com/,https://x.com/SilnaHealth/,https://www.linkedin.com/company/silna-health/,"Jeffrey Morelli, Pavel Asparouhov, Sagar Jajoo",2,Series A,27000000,USD,27000000,"Accel, Bain Capital Ventures, Sara Du, Andrew Tan","Accel, Bain Capital Ventures","Silna Health builds proactive tools that handle all prior authorizations, benefit checks and insurance monitoring upfront to make sure patients are actually clear to receive care."
TidalWave,https://www.crunchbase.com/organization/tidalwave-7da2,"New York, New York, United States",2023-03-01,month,"Agentic AI, Artificial Intelligence (AI), FinTech, Lending, Mortgage",2025-11-14,22000000,USD,22000000,"TidalWave is an agentic AI platform that helps in the mortgage process by automating document review, data entry, and loan processing.",https://www.tidalwave.ai,https://x.com/tidalwave_ai,https://www.linkedin.com/company/tidalwave-ai/,"Cheng Li, Chris McLendon, Diane Yu, Jack Deng",1,Series A,22000000,USD,22000000,"Engineering Capital, D.R. Horton, Permanent Capital Partners",Permanent Capital Partners,"Tidalwave.ai is a New York–based mortgage technology startup building agentic AI software for lenders and borrowers. Its platform automates parts of mortgage origination, including document review, data extraction, borrower communication, underwriting support, and income/asset verification. It integrates with systems such as Fannie Mae and Freddie Mac, as well as verification providers like Plaid."
Spiral,https://www.crunchbase.com/organization/f-ulcrum-technologies,"New York, New York, United States",2023-01-01,month,"Analytics, Artificial Intelligence (AI), Cloud Data Services, Computer Vision, Database, Data Governance, Data Integration, Data Management, Data Storage, Machine Learning",2025-09-11,22000000,USD,22000000,Spiral is building warehousing for complex data at machine scale.,https://spiraldb.com,https://x.com/SpiralDB,https://www.linkedin.com/company/spiraldb,,2,Series A,22000000,USD,22000000,"General Catalyst, BoxGroup, Amplify Partners, Operator Partners","Amplify Partners, General Catalyst",Spiral is building multimodal warehousing that works with the tools you love.
Conduit Health,https://www.crunchbase.com/organization/conduit-health,"New York, New York, United States",2023-01-01,year,Health Care,2026-03-17,21859987,USD,21859987,"Conduit Health provides telehealth DME access and telepsychiatry consultations, connecting patients and providers online.",https://www.conduithealth.com,,https://www.linkedin.com/company/conduithealth/,Rocky Seftel,2,Series A,21859987,USD,21859987,"Twelve Below, Eniac Ventures, Drive Capital, Nihal Mehta, XYZ Ventures",Drive Capital,
Tapstitch,https://www.crunchbase.com/organization/tapstitch,"New York, New York, United States",2023-01-01,year,"Apparel, E-Commerce, Fashion, Manufacturing",2025-05-02,21804026,USD,21804026,Tapstitch is an apparel manufacturer that empowers entrepreneurs to start and scale successful fashion brands.,https://www.tapstitch.com/,,https://www.linkedin.com/company/tapstitch/,Joe Zhou,2,Series A,21804026,USD,21804026,"Forerunner, Alpaca VC, XVC, Creator Ventures, irrvntVC",,"Tapstitch is the all-in-one solution that empowers entrepreneurs to start and scale successful fashion brands. It takes care of manufacturing, inventory, and fulfillment, so our customers can focus on building the businesses of their dreams."
Method Security,https://www.crunchbase.com/organization/method-security,"New York, New York, United States",2023-09-01,day,"Artificial Intelligence (AI), Cyber Security, SaaS, Security, Software",2025-11-19,21500000,USD,21500000,"Method Security develops AI security platform that helps enterprises test, monitor, and AI applications, models, and agentic workflows.",https://www.method.security/,https://x.com/method_security,https://www.linkedin.com/company/method-security/,,2,Series A,26000000,USD,26000000,"Andreessen Horowitz, General Catalyst, WndrCo, Angel Collective, Forward Deployed Venture Capital","Andreessen Horowitz, General Catalyst","Method Security is a developer of an AI security platform designed to protect enterprise AI applications, models, and agentic workflows. The company provides AI risk assessments, red teaming, continuous security monitoring, vulnerability detection, and governance tools, enabling organizations to identify threats, validate AI deployments, and strengthen the security of AI systems."
Niural,https://www.crunchbase.com/organization/niural,"New York, New York, United States",2022-06-01,month,"Artificial Intelligence (AI), FinTech, Human Resources, Payments, Recruiting",2026-06-23,21000000,USD,21000000,"Niural is an AI-native global PEO platform that unifies payroll, compliance, and payment operations into a single intelligent system.",https://www.niural.com,https://x.com/niuralhq,https://www.linkedin.com/company/niural,"Brabim Baral, Nabin Banskota, Nami Baral, Sarin Regmi",3,Series A,52000000,USD,52000000,"Hustle Fund, Inspired Capital Partners, NewView Capital, GS Futures, M13",Marathon Management Partners,"Niural is an AI-native global PEO platform that unifies payroll, compliance, and payment operations into a single intelligent system. Its executional AI coworker, EMMA, streamlines complex HR and finance workflows, enabling businesses to save hours per month, reduce HR and FX costs, and cut payroll errors."
Solstice Health,https://www.crunchbase.com/organization/solstice-health,"New York, New York, United States",2022-01-01,year,"Artificial Intelligence (AI), Electronic Health Record (EHR), Health Care, Medical, Oncology",2026-05-28,21000000,USD,21000000,Solstice Health is an AI life sciences marketing platform that offers a clinical data retrieval platform for oncology practice.,https://www.solsticehealth.co,,https://www.linkedin.com/company/solsticehealth,Aris Saxena,3,Series A,24500000,USD,24500000,"Transformation Capital, Virtue, Twelve Below, Edward Lando, Pareto Holdings",Transformation Capital,"Solstice Health is an AI-powered SaaS platform designed for life sciences marketing teams. It accelerates content creation, evaluation, and distribution, especially personalized marketing materials, while embedding regulatory compliance from the outset."
Wisdom,https://www.crunchbase.com/organization/wisdom-424a,"New York, New York, United States",2023-01-01,year,"Billing, Consulting, Data Management, Dental, Financial Services, Health Care, Insurance, Outsourcing, Software",2025-08-20,21000000,USD,21000000,Wisdom is a full-service billing company that allows dental practices to outsource their insurance collections and patient billing.,https://www.withwisdom.com,,https://www.linkedin.com/company/withwisdom,"Ashley Bond, Stoyan Kenderov",2,Series A,28000000,USD,28000000,"Aquiline Capital Partners, Juxtapose, Permanent Capital Ventures","Juxtapose, Permanent Capital Ventures","Wisdom provides outsourced revenue cycle management services for dental practices, focusing on insurance billing, verification, and patient billing. The company blends industry expertise with technology to manage tasks such as claims submission, claims aging follow-up, payment posting, and denial management. Its teams handle insurance verification with detailed coverage breakdowns, eligibility checks, and plan updates to support accurate treatment planning. Wisdom also manages patient billing workflows, including statements, letters, and phone calls, to follow up on overdue balances. Additional services include fee schedule updates, ledger audits, and predetermination submissions to align reimbursements and financial records with payer requirements. Through these offerings, Wisdom supports dental offices in running billing operations that are structured, documented, and aligned with insurance and patient payment processes."
Novella,https://www.crunchbase.com/organization/novella-df85,"New York, New York, United States",2024-01-01,year,"Artificial Intelligence (AI), Insurance, InsurTech",2026-05-14,21000000,USD,21000000,"Novella is an InsurTech company that develops products for general liability, commercial property, and Lloyd's of London using AI.",https://www.bynovella.com,,https://www.linkedin.com/company/novellainsurance,Max Kane,1,Series A,21000000,USD,21000000,"Alumni Ventures, BoxGroup, SV Angel, Avid Ventures, Brewer Lane Ventures",Brewer Lane Ventures,
